#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1AA1B
#Date Time: 2019-11-28 15:17:11.989
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V
#Channel 2: Range: 1 V/div Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
1.68688,1.9156,2.95226
1.68688,1.84562,2.77045
1.68688,1.83825,1.07963
1.68688,1.91191,0.257852
1.68688,2.27288,1.06508
1.68688,2.44599,0.737827
1.68688,2.57122,0.414207
1.68688,2.68909,0.650559
1.68688,2.86589,0.66874
1.68688,2.88062,0.505112
1.68688,2.95429,0.577835
1.68688,3.02795,0.799642
1.68688,3.03163,2.43956
1.68688,2.94324,3.19952
1.68688,2.60437,2.4941
1.68688,2.44599,2.8359
1.68688,2.30603,3.07589
1.68688,2.19921,2.89408
1.68688,2.02978,2.89408
1.68688,1.98558,3.02134
1.68688,1.8935,2.94499
1.68688,1.82352,2.75954
1.68688,1.83825,1.0869
1.68688,1.91191,0.279669
1.68688,2.26551,1.05417
1.68688,2.43862,0.752372
1.68688,2.54912,0.414207
1.68688,2.68172,0.654195
1.68688,2.85115,0.679648
1.68688,2.88799,0.490567
1.68688,2.96534,0.581471
1.68688,3.00585,0.79237
1.68688,3.0169,2.43956
1.68688,2.9285,3.21043
1.68688,2.59332,2.49774
1.68688,2.42021,2.8359
1.68688,2.32444,3.07952
1.68688,2.19553,2.89408
1.68688,2.02978,2.87953
1.68688,1.98558,3.0068
1.68688,1.89718,2.96317
1.68688,1.82352,2.76681
1.68688,1.83825,1.09417
1.68688,1.9156,0.246943
1.68688,2.26183,1.06508
1.68688,2.44967,0.748735
1.68688,2.54912,0.414207
1.68688,2.68909,0.632378
1.68688,2.86589,0.679648
1.68688,2.9064,0.501476
1.68688,2.96534,0.581471
1.68688,3.03163,0.821459
1.68688,3.00217,2.44683
1.68688,2.92114,3.2177
1.68688,2.60806,2.4941
1.68688,2.43862,2.84681
1.68688,2.31708,3.08316
1.68688,2.18079,2.88681
1.68688,2.0261,2.90499
1.68688,1.97821,3.02134
1.68688,1.88245,2.95589
1.68688,1.85667,2.78499
1.68688,1.83457,1.09054
1.68688,1.92665,0.276033
1.68688,2.27656,1.05417
1.68688,2.44967,0.730555
1.68688,2.56754,0.410571
1.68688,2.67436,0.650559
1.68688,2.85484,0.676012
1.68688,2.89535,0.523293
1.68688,2.97639,0.574199
1.68688,3.0169,0.803278
1.68688,3.03532,2.44683
1.68688,2.94324,3.22133
1.68688,2.60806,2.50864
1.68688,2.42389,2.84681
1.68688,2.30234,3.09407
1.68688,2.18816,2.90499
1.68688,2.05925,2.88317
1.68688,1.98558,3.02134
1.68688,1.90823,2.96317
1.68688,1.85298,2.76318
1.68688,1.8272,1.09781
1.68688,1.92665,0.25058
